"Type";"Year";"DensityMass";"DensityMassLow";"DensityMassHigh";"DensityNumbers";"DensityNumbersLow";"DensityNumbersHigh";"DensityProb";"DensityProbLow";"DensityProbHigh"
"Other";"2015";1,61921825776223;1,27007848197478;2,43626933248086;4,34212752723691;3,04265301392414;6,71640990240085;0,193616251783763;0,152582442404276;0,241715870312625
"Other";"2016";1,62406959819309;1,27170362650878;2,3793707387287;4,12027838940307;3,26070140782404;5,88688816857124;0,187663352364958;0,158855616898482;0,227426366126537
"Other";"2017";1,64109800590463;1,31344782561219;2,43484543782663;4,75686616997756;3,86581373898191;6,74780191565152;0,204202347625436;0,176138767431797;0,24347547533539
"Other";"2018";1,66567589797299;1,34653982321038;2,47444830401767;4,5078527069955;3,62752455273926;6,37864457145715;0,197927896386204;0,170816363438098;0,237662837593262
"Other";"2019";1,8393428830801;1,49765193113088;2,62088567570294;4,36788527364796;3,41725277918282;6,02924665023026;0,194293789410253;0,165419179493743;0,230023821018475
"Other";"2020";2,12606062813981;1,69976366605448;3,14490453884815;6,87233092788682;5,45655414878592;9,46017665797283;0,249578554627808;0,215662434058804;0,288067121455166
"Other";"2021";2,30939751965868;1,73532704414306;3,49130965202156;11,6894457892729;9,26057301247745;16,7254484064365;0,320705804803566;0,281888095462878;0,3694924250353
"Plastic";"2012";1,54565801513779;1,13151749460725;2,56480477037243;35,975188941578;25,6341177360936;51,0167823167945;0,628308577502656;0,555788419637821;0,694878469450813
"Plastic";"2013";2,07110390234088;1,68157700637946;3,06725519113808;22,5604946998431;18,5544867827087;28,9921114234914;0,533691595752082;0,488197274552283;0,586255860078479
"Plastic";"2014";3,47839685516795;2,75860653166108;4,96834066223892;34,644730989799;27,284357530734;46,1026656253872;0,620912656994915;0,569861323391723;0,675918656231329
"Plastic";"2015";3,40709241649046;2,80825673262592;4,92420781965292;35,6700484958394;28,7708616928165;46,8041377075046;0,626641620898537;0,577682166524609;0,677130722847351
"Plastic";"2016";3,1717810835719;2,64838329947296;4,62479906176364;32,2802414257999;27,6425192051558;39,5855564077105;0,606896419692478;0,568029014197967;0,646184297812837
"Plastic";"2017";3,14635246798393;2,62615233038661;4,39469646814459;37,2078596380533;32,517871993322;44,4698473408042;0,634873104551829;0,599653894606483;0,673790114667669
"Plastic";"2018";3,92459141013633;3,30019594496348;5,4623914421275;38,6804927941831;33,5412649126773;46,4231438249705;0,642377859722909;0,603633951406908;0,681203739861078
